frame,vector
42,"[[0.28154927492141724, 0.6255201101303101, -0.065849669277668], [0.3030312657356262, 0.4948686361312866, -0.049678850919008255], [0.2790461480617523, 0.4693944454193115, -0.05056339502334595], [0.2518160939216614, 0.4835512638092041, -0.05837232992053032], [0.22073189914226532, 0.5240570902824402, -0.05863004922866821]]"
43,"[[0.28154927492141724, 0.6255201101303101, -0.065849669277668], [0.3030312657356262, 0.4948686361312866, -0.049678850919008255], [0.2790461480617523, 0.4693944454193115, -0.05056339502334595], [0.2518160939216614, 0.4835512638092041, -0.05837232992053032], [0.22073189914226532, 0.5240570902824402, -0.05863004922866821]]"
44,"[[0.28154927492141724, 0.6255201101303101, -0.065849669277668], [0.3030312657356262, 0.4948686361312866, -0.049678850919008255], [0.2790461480617523, 0.4693944454193115, -0.05056339502334595], [0.2518160939216614, 0.4835512638092041, -0.05837232992053032], [0.22073189914226532, 0.5240570902824402, -0.05863004922866821]]"
45,"[[0.28154927492141724, 0.6255201101303101, -0.065849669277668], [0.3030312657356262, 0.4948686361312866, -0.049678850919008255], [0.2790461480617523, 0.4693944454193115, -0.05056339502334595], [0.2518160939216614, 0.4835512638092041, -0.05837232992053032], [0.22073189914226532, 0.5240570902824402, -0.05863004922866821]]"
46,"[[0.28154927492141724, 0.6255201101303101, -0.065849669277668], [0.3030312657356262, 0.4948686361312866, -0.049678850919008255], [0.2790461480617523, 0.4693944454193115, -0.05056339502334595], [0.2518160939216614, 0.4835512638092041, -0.05837232992053032], [0.22073189914226532, 0.5240570902824402, -0.05863004922866821]]"
47,"[[0.28154927492141724, 0.6255201101303101, -0.065849669277668], [0.3030312657356262, 0.4948686361312866, -0.049678850919008255], [0.2790461480617523, 0.4693944454193115, -0.05056339502334595], [0.2518160939216614, 0.4835512638092041, -0.05837232992053032], [0.22073189914226532, 0.5240570902824402, -0.05863004922866821]]"
48,"[[0.28154927492141724, 0.6255201101303101, -0.065849669277668], [0.3030312657356262, 0.4948686361312866, -0.049678850919008255], [0.2790461480617523, 0.4693944454193115, -0.05056339502334595], [0.2518160939216614, 0.4835512638092041, -0.05837232992053032], [0.22073189914226532, 0.5240570902824402, -0.05863004922866821]]"
49,"[[0.2804017663002014, 0.6206896305084229, -0.06364662200212479], [0.3047678470611572, 0.4912053346633911, -0.04915601387619972], [0.2806498408317566, 0.46397361159324646, -0.050186123698949814], [0.25252005457878113, 0.476860374212265, -0.058764319866895676], [0.22123557329177856, 0.5180566310882568, -0.059040963649749756]]"
50,"[[0.2804017663002014, 0.6206896305084229, -0.06364662200212479], [0.3047678470611572, 0.4912053346633911, -0.04915601387619972], [0.2806498408317566, 0.46397361159324646, -0.050186123698949814], [0.25252005457878113, 0.476860374212265, -0.058764319866895676], [0.22123557329177856, 0.5180566310882568, -0.059040963649749756]]"
51,"[[0.2804017663002014, 0.6206896305084229, -0.06364662200212479], [0.3047678470611572, 0.4912053346633911, -0.04915601387619972], [0.2806498408317566, 0.46397361159324646, -0.050186123698949814], [0.25252005457878113, 0.476860374212265, -0.058764319866895676], [0.22123557329177856, 0.5180566310882568, -0.059040963649749756]]"
52,"[[0.2804017663002014, 0.6206896305084229, -0.06364662200212479], [0.3047678470611572, 0.4912053346633911, -0.04915601387619972], [0.2806498408317566, 0.46397361159324646, -0.050186123698949814], [0.25252005457878113, 0.476860374212265, -0.058764319866895676], [0.22123557329177856, 0.5180566310882568, -0.059040963649749756]]"
53,"[[0.2804017663002014, 0.6206896305084229, -0.06364662200212479], [0.3047678470611572, 0.4912053346633911, -0.04915601387619972], [0.2806498408317566, 0.46397361159324646, -0.050186123698949814], [0.25252005457878113, 0.476860374212265, -0.058764319866895676], [0.22123557329177856, 0.5180566310882568, -0.059040963649749756]]"
54,"[[0.2804017663002014, 0.6206896305084229, -0.06364662200212479], [0.3047678470611572, 0.4912053346633911, -0.04915601387619972], [0.2806498408317566, 0.46397361159324646, -0.050186123698949814], [0.25252005457878113, 0.476860374212265, -0.058764319866895676], [0.22123557329177856, 0.5180566310882568, -0.059040963649749756]]"
55,"[[0.2804017663002014, 0.6206896305084229, -0.06364662200212479], [0.3047678470611572, 0.4912053346633911, -0.04915601387619972], [0.2806498408317566, 0.46397361159324646, -0.050186123698949814], [0.25252005457878113, 0.476860374212265, -0.058764319866895676], [0.22123557329177856, 0.5180566310882568, -0.059040963649749756]]"
56,"[[0.2779359221458435, 0.6044368743896484, -0.0666014775633812], [0.30141374468803406, 0.47551268339157104, -0.04976857826113701], [0.27395808696746826, 0.44953304529190063, -0.051427800208330154], [0.24627484381198883, 0.45748698711395264, -0.060628846287727356], [0.21547549962997437, 0.49972766637802124, -0.05965433269739151]]"
57,"[[0.2779359221458435, 0.6044368743896484, -0.0666014775633812], [0.30141374468803406, 0.47551268339157104, -0.04976857826113701], [0.27395808696746826, 0.44953304529190063, -0.051427800208330154], [0.24627484381198883, 0.45748698711395264, -0.060628846287727356], [0.21547549962997437, 0.49972766637802124, -0.05965433269739151]]"
58,"[[0.2779359221458435, 0.6044368743896484, -0.0666014775633812], [0.30141374468803406, 0.47551268339157104, -0.04976857826113701], [0.27395808696746826, 0.44953304529190063, -0.051427800208330154], [0.24627484381198883, 0.45748698711395264, -0.060628846287727356], [0.21547549962997437, 0.49972766637802124, -0.05965433269739151]]"
59,"[[0.2779359221458435, 0.6044368743896484, -0.0666014775633812], [0.30141374468803406, 0.47551268339157104, -0.04976857826113701], [0.27395808696746826, 0.44953304529190063, -0.051427800208330154], [0.24627484381198883, 0.45748698711395264, -0.060628846287727356], [0.21547549962997437, 0.49972766637802124, -0.05965433269739151]]"
60,"[[0.2779359221458435, 0.6044368743896484, -0.0666014775633812], [0.30141374468803406, 0.47551268339157104, -0.04976857826113701], [0.27395808696746826, 0.44953304529190063, -0.051427800208330154], [0.24627484381198883, 0.45748698711395264, -0.060628846287727356], [0.21547549962997437, 0.49972766637802124, -0.05965433269739151]]"
61,"[[0.2779359221458435, 0.6044368743896484, -0.0666014775633812], [0.30141374468803406, 0.47551268339157104, -0.04976857826113701], [0.27395808696746826, 0.44953304529190063, -0.051427800208330154], [0.24627484381198883, 0.45748698711395264, -0.060628846287727356], [0.21547549962997437, 0.49972766637802124, -0.05965433269739151]]"
62,"[[0.2779359221458435, 0.6044368743896484, -0.0666014775633812], [0.30141374468803406, 0.47551268339157104, -0.04976857826113701], [0.27395808696746826, 0.44953304529190063, -0.051427800208330154], [0.24627484381198883, 0.45748698711395264, -0.060628846287727356], [0.21547549962997437, 0.49972766637802124, -0.05965433269739151]]"
63,"[[0.2691698372364044, 0.5808674097061157, -0.06901786476373672], [0.2917972505092621, 0.45299720764160156, -0.05151580274105072], [0.2646072804927826, 0.4283604025840759, -0.05402873456478119], [0.23922204971313477, 0.4363861382007599, -0.0630398690700531], [0.2077118158340454, 0.47901809215545654, -0.061188239604234695]]"
64,"[[0.2691698372364044, 0.5808674097061157, -0.06901786476373672], [0.2917972505092621, 0.45299720764160156, -0.05151580274105072], [0.2646072804927826, 0.4283604025840759, -0.05402873456478119], [0.23922204971313477, 0.4363861382007599, -0.0630398690700531], [0.2077118158340454, 0.47901809215545654, -0.061188239604234695]]"
65,"[[0.2691698372364044, 0.5808674097061157, -0.06901786476373672], [0.2917972505092621, 0.45299720764160156, -0.05151580274105072], [0.2646072804927826, 0.4283604025840759, -0.05402873456478119], [0.23922204971313477, 0.4363861382007599, -0.0630398690700531], [0.2077118158340454, 0.47901809215545654, -0.061188239604234695]]"
66,"[[0.2691698372364044, 0.5808674097061157, -0.06901786476373672], [0.2917972505092621, 0.45299720764160156, -0.05151580274105072], [0.2646072804927826, 0.4283604025840759, -0.05402873456478119], [0.23922204971313477, 0.4363861382007599, -0.0630398690700531], [0.2077118158340454, 0.47901809215545654, -0.061188239604234695]]"
67,"[[0.2691698372364044, 0.5808674097061157, -0.06901786476373672], [0.2917972505092621, 0.45299720764160156, -0.05151580274105072], [0.2646072804927826, 0.4283604025840759, -0.05402873456478119], [0.23922204971313477, 0.4363861382007599, -0.0630398690700531], [0.2077118158340454, 0.47901809215545654, -0.061188239604234695]]"
68,"[[0.2691698372364044, 0.5808674097061157, -0.06901786476373672], [0.2917972505092621, 0.45299720764160156, -0.05151580274105072], [0.2646072804927826, 0.4283604025840759, -0.05402873456478119], [0.23922204971313477, 0.4363861382007599, -0.0630398690700531], [0.2077118158340454, 0.47901809215545654, -0.061188239604234695]]"
69,"[[0.2691698372364044, 0.5808674097061157, -0.06901786476373672], [0.2917972505092621, 0.45299720764160156, -0.05151580274105072], [0.2646072804927826, 0.4283604025840759, -0.05402873456478119], [0.23922204971313477, 0.4363861382007599, -0.0630398690700531], [0.2077118158340454, 0.47901809215545654, -0.061188239604234695]]"
70,"[[0.2539075016975403, 0.5668062567710876, -0.06402625143527985], [0.2766130566596985, 0.4402310848236084, -0.05077818036079407], [0.24984821677207947, 0.41179826855659485, -0.05480945110321045], [0.2253398895263672, 0.42144325375556946, -0.06572799384593964], [0.19182008504867554, 0.4678112268447876, -0.06367547065019608]]"
71,"[[0.2539075016975403, 0.5668062567710876, -0.06402625143527985], [0.2766130566596985, 0.4402310848236084, -0.05077818036079407], [0.24984821677207947, 0.41179826855659485, -0.05480945110321045], [0.2253398895263672, 0.42144325375556946, -0.06572799384593964], [0.19182008504867554, 0.4678112268447876, -0.06367547065019608]]"
72,"[[0.2539075016975403, 0.5668062567710876, -0.06402625143527985], [0.2766130566596985, 0.4402310848236084, -0.05077818036079407], [0.24984821677207947, 0.41179826855659485, -0.05480945110321045], [0.2253398895263672, 0.42144325375556946, -0.06572799384593964], [0.19182008504867554, 0.4678112268447876, -0.06367547065019608]]"
73,"[[0.2539075016975403, 0.5668062567710876, -0.06402625143527985], [0.2766130566596985, 0.4402310848236084, -0.05077818036079407], [0.24984821677207947, 0.41179826855659485, -0.05480945110321045], [0.2253398895263672, 0.42144325375556946, -0.06572799384593964], [0.19182008504867554, 0.4678112268447876, -0.06367547065019608]]"
74,"[[0.2539075016975403, 0.5668062567710876, -0.06402625143527985], [0.2766130566596985, 0.4402310848236084, -0.05077818036079407], [0.24984821677207947, 0.41179826855659485, -0.05480945110321045], [0.2253398895263672, 0.42144325375556946, -0.06572799384593964], [0.19182008504867554, 0.4678112268447876, -0.06367547065019608]]"
75,"[[0.2539075016975403, 0.5668062567710876, -0.06402625143527985], [0.2766130566596985, 0.4402310848236084, -0.05077818036079407], [0.24984821677207947, 0.41179826855659485, -0.05480945110321045], [0.2253398895263672, 0.42144325375556946, -0.06572799384593964], [0.19182008504867554, 0.4678112268447876, -0.06367547065019608]]"
76,"[[0.2539075016975403, 0.5668062567710876, -0.06402625143527985], [0.2766130566596985, 0.4402310848236084, -0.05077818036079407], [0.24984821677207947, 0.41179826855659485, -0.05480945110321045], [0.2253398895263672, 0.42144325375556946, -0.06572799384593964], [0.19182008504867554, 0.4678112268447876, -0.06367547065019608]]"
77,"[[0.2547016143798828, 0.5691585540771484, -0.061809852719306946], [0.2748154401779175, 0.44304436445236206, -0.051722995936870575], [0.2502298951148987, 0.4123430550098419, -0.05413167178630829], [0.22296901047229767, 0.4255967140197754, -0.06255961954593658], [0.1920109987258911, 0.4670560359954834, -0.06198430433869362]]"
78,"[[0.2547016143798828, 0.5691585540771484, -0.061809852719306946], [0.2748154401779175, 0.44304436445236206, -0.051722995936870575], [0.2502298951148987, 0.4123430550098419, -0.05413167178630829], [0.22296901047229767, 0.4255967140197754, -0.06255961954593658], [0.1920109987258911, 0.4670560359954834, -0.06198430433869362]]"
79,"[[0.2547016143798828, 0.5691585540771484, -0.061809852719306946], [0.2748154401779175, 0.44304436445236206, -0.051722995936870575], [0.2502298951148987, 0.4123430550098419, -0.05413167178630829], [0.22296901047229767, 0.4255967140197754, -0.06255961954593658], [0.1920109987258911, 0.4670560359954834, -0.06198430433869362]]"
80,"[[0.2547016143798828, 0.5691585540771484, -0.061809852719306946], [0.2748154401779175, 0.44304436445236206, -0.051722995936870575], [0.2502298951148987, 0.4123430550098419, -0.05413167178630829], [0.22296901047229767, 0.4255967140197754, -0.06255961954593658], [0.1920109987258911, 0.4670560359954834, -0.06198430433869362]]"
81,"[[0.2547016143798828, 0.5691585540771484, -0.061809852719306946], [0.2748154401779175, 0.44304436445236206, -0.051722995936870575], [0.2502298951148987, 0.4123430550098419, -0.05413167178630829], [0.22296901047229767, 0.4255967140197754, -0.06255961954593658], [0.1920109987258911, 0.4670560359954834, -0.06198430433869362]]"
82,"[[0.2547016143798828, 0.5691585540771484, -0.061809852719306946], [0.2748154401779175, 0.44304436445236206, -0.051722995936870575], [0.2502298951148987, 0.4123430550098419, -0.05413167178630829], [0.22296901047229767, 0.4255967140197754, -0.06255961954593658], [0.1920109987258911, 0.4670560359954834, -0.06198430433869362]]"
83,"[[0.2547016143798828, 0.5691585540771484, -0.061809852719306946], [0.2748154401779175, 0.44304436445236206, -0.051722995936870575], [0.2502298951148987, 0.4123430550098419, -0.05413167178630829], [0.22296901047229767, 0.4255967140197754, -0.06255961954593658], [0.1920109987258911, 0.4670560359954834, -0.06198430433869362]]"
84,"[[0.255217969417572, 0.5739995837211609, -0.06435582786798477], [0.27596181631088257, 0.448684424161911, -0.05172456428408623], [0.2505393624305725, 0.4166371822357178, -0.05410708859562874], [0.22388875484466553, 0.4309322237968445, -0.06236307695508003], [0.19272491335868835, 0.47287875413894653, -0.06194223091006279]]"
85,"[[0.255217969417572, 0.5739995837211609, -0.06435582786798477], [0.27596181631088257, 0.448684424161911, -0.05172456428408623], [0.2505393624305725, 0.4166371822357178, -0.05410708859562874], [0.22388875484466553, 0.4309322237968445, -0.06236307695508003], [0.19272491335868835, 0.47287875413894653, -0.06194223091006279]]"
86,"[[0.255217969417572, 0.5739995837211609, -0.06435582786798477], [0.27596181631088257, 0.448684424161911, -0.05172456428408623], [0.2505393624305725, 0.4166371822357178, -0.05410708859562874], [0.22388875484466553, 0.4309322237968445, -0.06236307695508003], [0.19272491335868835, 0.47287875413894653, -0.06194223091006279]]"
